"","Player","Age","Tm","Pos","GP","G","A","PTS","Resids"
"237","Riley Nash
ashri02",29,"CBJ","C",78,3,9,12,0.0117644976053816
"265","Brendan Perlini\perlibr01",22,"TOT","LW",68,14,7,21,0.0115618833169731
"247","Gustav Nyquist
yquigu01",29,"TOT","RW",81,22,38,60,0.0105730565472587
"343","Brady Tkachuk	kachbr01",19,"OTT","LW",71,22,23,45,0.00967812729564616
"14","Andreas Athanasiouthanan01",24,"DET","C",76,30,24,54,0.00930206605187026
"51","Matt Calvert\calvema01",29,"COL","LW",82,11,15,26,0.00818800766828215
"170","Melker Karlsson\karlsme01",28,"SJS","C",79,12,4,16,0.00775841224384762
"304","Kiefer Sherwood\sherwki01",23,"ANA","RW",50,6,6,12,0.00665750982764524
"93","Nikolaj Ehlers\ehlerni01",22,"WPG","LW",62,21,16,37,0.00662269817904836
"191","Sean Kuraly\kuralse01",26,"BOS","C",71,8,13,21,0.00631803074283568
"166","David Kampf\kampfda01",24,"CHI","C",63,4,15,19,0.0059413449989471
"235","Tyler Motte\mottety01",23,"VAN","C",74,9,7,16,0.00543206609912434
"167","Evander Kane\kaneev01",27,"SJS","LW",75,30,26,56,0.00535753285326859
"181","Leo Komarov\komarle01",32,"NYI","C",82,6,20,26,0.00484726854215066
"15","Cam Atkinsontkinca01",29,"CBJ","RW",80,41,28,69,0.00419896112548935
"34","Mikkel Boedkeroedkmi01",29,"OTT","RW",71,7,28,35,0.00379787808158782
"169","Kasperi Kapanen\kapanka01",22,"TOR","RW",78,20,24,44,0.00281692428476337
"160","Tyler Johnson\johnsty01",28,"TBL","C",80,29,18,47,0.00276119580950709
"342","Chris Tierney	iernch01",24,"OTT","C",81,9,39,48,0.000685212043606295
"69","Sean Couturier\coutuse01",26,"PHI","C",80,33,43,76,0.000399359329012163
"197","Dylan Larkin\larkidy01",22,"DET","C",76,32,41,73,0.000370089149049384
"348","Alex Tuch	uchal01",22,"VEG","RW",74,20,32,52,-0.000875190872150882
"312","Reilly Smith\smithre01",27,"VEG","RW",74,19,34,53,-0.00132593949860338
"351","Thomas Vanekanekth01",35,"DET","LW",64,16,20,36,-0.00530347751468941
"373","Mats Zuccarello\zuccama01",31,"TOT","LW",48,12,28,40,-0.00760017334094695
"295","Mark Scheifele\scheima01",25,"WPG","C",82,38,46,84,-0.00762533531724232
"60","Andrew Cogliano\coglian01",31,"TOT","LW",78,6,11,17,-0.00839689608523992
"306","Jakob Silfverberg\silfvja01",28,"ANA","LW",73,24,19,43,-0.00867370932038127
"8","Sven Andrighettondrisv01",25,"COL","RW",64,7,10,17,-0.00871092121600994
"245","Ryan Nugent-Hopkins
ugenry01",25,"EDM","C",82,28,41,69,-0.00894727297271341
"240","Nino Niederreiter
iedeni01",26,"TOT","RW",82,23,30,53,-0.012606325059804
"368","Tom Wilson\wilsoto01",24,"WSH","RW",63,22,18,40,-0.0129500582330054
"280","Ryan Reaves
eavery01",32,"VEG","RW",80,9,11,20,-0.0129779355915477
"165","Dominik Kahun\kahundo01",23,"CHI","C",82,13,24,37,-0.0155972384823677
"59","Cal Clutterbuck\cluttca01",31,"NYI","RW",73,8,15,23,-0.0165615978505513
"244","Tomas Nosek
osekto01",26,"VEG","C",68,8,9,17,-0.0165881457703537
"12","Viktor Arvidssonrvidvi01",25,"NSH","LW",58,34,14,48,-0.0168470902148102
"49","Drake Caggiula\caggidr01",24,"TOT","LW",55,12,11,23,-0.0176474556725747
"284","Nick Ritchie
itchni01",23,"ANA","LW",60,9,22,31,-0.0180672932077939
"136","Ryan Hartman\hartmry01",24,"TOT","RW",83,12,14,26,-0.0189327846753172
"176","Alexander Kerfoot\kerfoal01",24,"COL","C",78,15,27,42,-0.020189604142612
"4","Kenny Agostinogostke01",26,"TOT","LW",63,6,18,24,-0.0209108249084477
"302","Riley Sheahan\sheahri01",27,"TOT","C",82,9,10,19,-0.0212293505981251
"358","Chris Wagner\wagnech01",27,"BOS","C",76,12,7,19,-0.0215840051376798
"7","Josh Andersonnderjo05",24,"CBJ","RW",82,27,20,47,-0.0221165703020924
"196","Gabriel Landeskog\landega01",26,"COL","LW",73,34,41,75,-0.0231809267711754
"20","Josh Baileyailejo01",29,"NYI","C",82,16,40,56,-0.023486072784233
"369","Miles Wood\woodmi01",23,"NJD","LW",63,10,14,24,-0.0246795742097009
"308","Dominik Simon\simondo01",24,"PIT","C",71,8,20,28,-0.0251171670617595
"252","Magnus Paajarvi\paajama01",27,"OTT","LW",80,11,8,19,-0.0263936365125654
"114","Brendan Gallagher\gallabr01",26,"MTL","RW",82,33,19,52,-0.0269776744313212
"61","Blake Coleman\colembl01",27,"NJD","C",78,22,14,36,-0.0290486039927378
"140","Danton Heinen\heineda01",23,"BOS","C",77,11,23,34,-0.0313682234067663
"229","Brock McGinn\mcginbr01",24,"CAR","LW",82,10,16,26,-0.0319077472875047
"305","Devin Shore\shorede01",24,"TOT","C",76,10,19,29,-0.0322926728351627
"296","Brayden Schenn\schenbr01",27,"STL","C",72,17,37,54,-0.0329357117884653
"255","Ondrej Palat\palaton01",27,"TBL","LW",64,8,26,34,-0.0345589543584826
"352","Frank Vatranoatrafr01",24,"FLA","LW",81,24,15,39,-0.0356173078144733
"365","Colin White\whiteco02",22,"OTT","C",71,14,27,41,-0.0372230542497355
"52","Ryan Carpenter\carpery01",28,"VEG","C",68,5,13,18,-0.038244155421463
"367","Colin Wilson\wilsoco01",29,"COL","C",65,12,15,27,-0.0387888066343574
"87","Pierre-Luc Dubois\duboipi01",20,"CBJ","LW",82,27,34,61,-0.0394850687635721
"215","Denis Malgin\malgide01",22,"FLA","C",50,7,9,16,-0.0398818360502252
"326","Chandler Stephenson\stephch02",24,"WSH","C",64,5,6,11,-0.0420620496776615
"110","Filip Forsbergorsbfi01",24,"NSH","C",64,28,22,50,-0.0424241128508844
"98","Joel Eriksson Ek\eriksjo02",22,"MIN","C",58,7,7,14,-0.0434786052236048
"270","Tyler Pitlick\pitlity01",27,"DAL","C",47,8,4,12,-0.0438187301112763
"292","Brandon Saad\saadbr01",26,"CHI","LW",80,23,24,47,-0.0450542090412325
"198","Johan Larsson\larssjo02",26,"BUF","LW",73,6,8,14,-0.0458351110467775
"27","Pierre-Edouard Bellemareellepi01",33,"VEG","LW",76,6,9,15,-0.0462665303988998
"3","Noel Acciaricciano01",27,"BOS","C",72,6,8,14,-0.0468123958209255
"250","T.J. Oshie\oshietj01",32,"WSH","C",69,25,29,54,-0.0472871037075703
"29","Sam Bennettennesa01",22,"CGY","C",71,13,14,27,-0.0487174056068066
"278","Michael Rasmussen
asmumi01",19,"DET","C",62,8,10,18,-0.0489545636915089
"24","Mathew Barzalarzama01",21,"NYI","C",82,18,44,62,-0.0490813735972044
"148","Patric Hornqvist\hornqpa01",32,"PIT","RW",69,18,19,37,-0.0495687069971179
"211","Adam Lowry\lowryad01",25,"WPG","LW",78,12,11,23,-0.0496067345085616
"210","Bryan Little\littlbr01",31,"WPG","RW",82,15,26,41,-0.0497847558693895
"309","Colton Sissons\sissoco01",25,"NSH","C",75,15,15,30,-0.0536949575081791
"218","Anthony Mantha\manthan01",24,"DET","RW",67,25,23,48,-0.055382134203557
"39","Brian Boyleoylebr01",34,"TOT","C",73,18,6,24,-0.0562262096631523
"36","Nick Boninooninni01",30,"NSH","C",81,17,18,35,-0.0575675604953438
"81","Ryan Donato\donatry01",22,"TOT","C",56,10,15,25,-0.0580423526700559
"164","Nazem Kadri\kadrina01",28,"TOR","C",73,16,28,44,-0.0590691260509867
"324","Alex Steen\steenal01",34,"STL","C",65,10,17,27,-0.0627265906510092
"239","Brock Nelson
elsobr01",27,"NYI","C",82,25,28,53,-0.062869415382061
"85","Jonathan Drouin\drouijo01",23,"MTL","LW",81,18,35,53,-0.0634574014472261
"17","Mikael Backlundacklmi01",29,"CGY","C",77,21,26,47,-0.0637953968263807
"290","Bobby Ryan
yanbo01",31,"OTT","LW",78,15,27,42,-0.0642970838434901
"313","Zack Smith\smithza01",30,"OTT","C",70,9,19,28,-0.064910118765929
"78","Jake Debrusk\debruja01",22,"BOS","LW",68,27,15,42,-0.0656625661624342
"220","Jonathan Marchessaultudymjo01",28,"VEG","C",82,25,34,59,-0.066070668086646
"163","Tyson Jost\jostty01",20,"COL","C",70,11,15,26,-0.0662378066003381
"97","Loui Eriksson\erikslo01",33,"VAN","LW",81,11,18,29,-0.0668171365114026
"279","Ty Rattie
attity01",25,"EDM","RW",50,4,7,11,-0.0671633040259665
"134","Carl Hagelin\hagelca01",30,"TOT","LW",58,5,14,19,-0.0680353731171166
"158","Ryan Johansen\johanry01",26,"NSH","C",80,14,50,64,-0.0698059953493012
"141","Darren Helm\helmda01",32,"DET","C",61,7,10,17,-0.0701177479812284
"339","Nate Thompson	hompna01",34,"TOT","C",78,5,8,13,-0.0703107107542022
"186","Chris Kreider\kreidch01",27,"NYR","C",79,28,24,52,-0.07063008668989
"184","Jesperi Kotkaniemi\kotkaje01",18,"MTL","C",79,11,23,34,-0.0725281925514655
"157","Boone Jenner\jennebo01",25,"CBJ","C",77,16,22,38,-0.0729035149543398
"115","Conor Garland\garlaco01",22,"ARI","RW",47,13,5,18,-0.0730665188747569
"201","Artturi Lehkonen\lehkoar01",23,"MTL","LW",82,11,20,31,-0.0733229155284881
"40","Tyler Bozakozakty01",32,"STL","C",72,13,25,38,-0.0749403654274596
"225","Jordan Martinook\martijo01",26,"CAR","LW",82,15,10,25,-0.0763096997962454
"205","Trevor Lewis\lewistr01",32,"LAK","C",44,3,9,12,-0.0770108619734042
"171","William Karlsson\karlswi01",26,"VEG","C",82,24,32,56,-0.07834386601595
"173","Zack Kassian\kassiza01",28,"EDM","RW",79,15,11,26,-0.0790345283066035
"331","Andrei Svechnikov\svechan01",18,"CAR","RW",82,20,17,37,-0.0797544217249052
"95","Lars Eller\ellerla01",29,"WSH","C",81,13,23,36,-0.0804360862630032
"321","Drew Stafford\staffdr01",33,"NJD","RW",57,5,8,13,-0.0809085455555019
"112","Sam Gagner\gagnesa01",29,"TOT","C",32,6,7,13,-0.084221493227696
"329","Ryan Strome\stromry01",25,"TOT","C",81,19,16,35,-0.0845813833728087
"116","Adam Gaudette\gaudead01",22,"VAN","C",56,5,7,12,-0.0852599894854235
"65","Kyle Connor\connoky01",22,"WPG","LW",82,34,32,66,-0.0866141910598586
"145","Roope Hintz\hintzro01",22,"DAL","LW",58,9,13,22,-0.087346509172233
"236","Vladislav Namestnikov
amesvl01",26,"NYR","C",78,11,20,31,-0.0887005830358304
"123","Luke Glendening\glendlu01",29,"DET","C",78,10,13,23,-0.0902709830251188
"129","Mikael Granlund\granlmi01",26,"TOT","C",79,16,38,54,-0.0903686920484211
"337","Troy Terry	errytr01",21,"ANA","C",32,4,9,13,-0.0918426746515383
"146","Nico Hischier\hischni01",20,"NJD","C",69,17,30,47,-0.0921044478425603
"67","Nick Cousins\cousini01",25,"ARI","C",81,7,20,27,-0.0921754830555996
"370","Pavel Zacha\zachapa01",21,"NJD","C",61,13,12,25,-0.0923265910967981
"361","Jordan Weal\wealjo01",26,"TOT","C",63,8,13,21,-0.0933100778546748
